carciofo,139630
Argos,25181
harrierco,24386
JLOSM,21819
Kleper,18023
JosClag,13783
cris_1994,11352
humano,9540
Antares_alf,9290
mono11,7612
harriercoold,6835
Nodes&Roads,6209
"Álvaro Salazar",5603
Manchito,5142
"Juan Carlos Botero Ramirez",4560
waterresource,4027
"Andrey Ruíz",3872
ianturo,3732
"Rodrigo Bolivar",3487
cardenas,3402
fredyaguirrevalencia,3295
karina,3149
"Camilo Alvarez",3123
locodays,3026
danny11,2912
EsneiderAgudelo,2689
arley,2343
geoge,2299
vanessalaro,2295
yennymar,2280
plexi32,2154
rcastib,2060
"Marcela Alvarez",1978
mariotomo,1743
"Alba Cristina",1633
"Mapping Dutchman",1589
"Daniel Sanchez R",1485
"Felipe andres",1477
pipexcd,1468
"Bennet Campoverde",1403
"la 43",1397
"CarturoLópez",1383
jhcanof,1272
"yeskenia ",1223
h4ckypurpl3,1037
mashipura,1022
MikeChuck,980
Rekrutacja,977
dmartinh,959
4rch,954
jesuse,900
opengamin,893
holverarango,890
estebanz01,850
kerrykey,814
zaizone,793
dobozban,756
ProyectoNN,693
Hjart,650
Tshikey,617
fmunozh,586
Saa7,564
dbusse,563
Vlad,556
leonjaramillo,553
Luis36995,523
JuanitoPerez,508
"Santiago Montoya Angarita",508
Coyau,491
ediyes,488
"Juan Alberto",485
asiul28,473
lion_linton,473
macarome,473
"Soluciones Romey",469
July,415
"Juank The Wonder Full",410
Daniel57,394
PedroPJ,380
GEToTo,371
RichRico,359
Alejoisaza,344
Sa_arias,323
arasairam,323
jdanielu,306
LuisGPS,302
Gladysu,296
bastien59360,290
xPES,290
Diegorg,289
Soke,285
AnaC,257
GeoEagle,256
"Hernan Hincapie H",253
Carsal,248
"lelita giraldo",243
123sese,240
Julioe,240
Monita,238
Humberto_Yances,234
"Leonardo Gutierrez",234
"por aya xmelz",234
dmgroom_ct,231
"Andres Henao",229
castropol,229
pablista,207
JDHB,203
Kasperboel,197
Super-Map,197
"Sebastián Salazar",190
"Julián Darío Giraldo Ocampo",187
"German Velez",186
eikofica,185
"ricardo contreras",183
"Andreas Moeller",182
"Lady Dianne",176
JohnToro,172
SStiven,172
juan666,167
hofoen,166
_rockmachine,165
"David Gutiérrez",164
ninjamask,164
Avlc,163
"Parque Biblioteca Tomás Carrasquilla - La Quintana",160
prosenland,159
AstridE,157
bigalxyz123,146
"santiago muñoz arias",140
Goper,133
"Santiago cardona loaiza",132
"Jose Roberto Florez toro",130
netser,130
abel801,122
noxx76,120
steskings,120
cesilesc,116
"Martijn van Laar",106
FvGordon,105
Krispeta,105
jmsang13,105
dannykath,103
dianita,103
Andreslopgal3112,100
SoilRos,100
juliettemlm,100
"Esteban Moscoso Rivera",99
karitotp,96
manuelito,95
canos,94
agranizo,93
"david alvarado",93
gearbelaez,93
"chiki monsalve",92
"ANDY GUDMAN",89
Dimitri_Junker,88
Cristyansv,85
"M Alejo",84
DiegoOrjuela,83
Orlandop10,83
giojem,83
henryelsucio,83
"Andres Munoz",82
sebas_esp,82
andygol,80
brolin,79
luzdapl,79
cvanegas,78
"Alejandro Alzate",76
"Alejandro Tapias Motato",76
"JUAN RICARDO",76
enavarrete,76
BMarjan,75
gabo_lopez,75
Esperanza36,74
"Hector Londono",74
Rps333,74
bavaro,74
dintrans_g,74
"Andres Felipe Arias",72
Biketry,72
"Juan Pablo Saldarriaga",71
"Ricardo Rodriguez",71
etorog,71
Chetan_Gowda,70
calfarome,70
"Juan Aguirre3220",68
poniano,66
CABE01,65
"Diego Galeano",65
SACRISMO,64
ipereto,64
"Nadino la sierra",63
NavasDim,63
nikhilprabhakar,62
quintalez1,62
mlechinoise,61
"Frank Cardona",60
ceyockey,60
pasoapaso,60
Davideste03,59
"Juan Andres",59
judigael,59
Danyes76,57
LeidyE,55
"Alexis Rodriguez",53
"Sir Laffalot",53
botika,53
venerdi,53
"sebas castaño",51
"Esteban Arango Medina",50
JorgeCossio,50
Josepastrana17,50
Paschberg,50
Rub21,50
Josefrancoloaiza,49
karensofiaangel,48
"Soporte AZ SMART",47
"Yors Flow",46
andrewpmk,46
anfeja,46
doblevia,46
ikks,46
Josef73,45
"Paulo Mesa",45
"Saul Franco",45
WingedStone,45
blueandtanit,45
"Alción",44
larusalka,44
lsmg,44
"Camilo Ochoa",43
"Juan Pablo Espinosa",43
abellao,43
prehnitadunita,43
"Nicolás",42
"Diego Pardo",41
jueslomo12,40
Andrea123456789,39
fx99,39
"Victor Hugo Mejia Castrillon",38
gsantiago,37
samely,36
Sirleyomara,34
"johana tabares",34
iohannez,33
peter1989,33
Lore_trujillo,32
alarota,32
"Cartografía",31
"Felipe Cock",31
jdma555,31
@_Juam_,30
"Al Bosque Hostel & Glamping",30
dianamar,30
"john cespedes",30
lpavia,30
Sofi4,29
davidrzuluaga,29
goevinh,29
juanfer16,29
youknowme,29
joanjim,28
lazpololcofee,28
Absaroka,27
Jorjara82,26
PierreO,26
wilmartw5,26
xybot,26
"Aurimas Fišeras",25
EspiaEnemigo,25
ambientalinge,25
hombresigma,25
nordmann70,25
wegavision,25
"Amedinamejía",24
FastAlan,24
aperezl,24
dahiana2004,24
katpatuka,24
maurozo,24
DennisL,23
Julianaly,23
"Leonardo SM",23
"Martha Isabel P",23
Monsalve10,23
Referridos,23
"dayana ramirez",23
dmzu,23
Nandogp,22
Tonycar1,22
beelzebub1409,22
jesteban1011,22
juanjo3221,22
Josedfs77,21
miquito,21
shr1995,21
werner2101,21
"Camila Estrada",20
JaimeSoto,20
Laure_287,20
LuisRod,20
"Mónica Álvarez",20
Schild,20
pacheco789,20
"Alejandro Jaramillo",19
"Andreu Andreu i Andreu",19
Johnnsalesian,19
gomezu710,19
hostalmarrokos,19
"karla taborda17",19
santiago123456,19
"Diego Patino",18
"Fabi Labi",18
"Sala Mi Barrio La Quintana",18
camorap,18
greecemapper,18
rtunjano,18
sarisup240,18
"yismari cordoba",18
CloCkWeRX,17
Helmchen42,17
dpenar,17
"edwin rauL",17
"juan sebastian arenas",17
daossag,16
"santiago isaza hurtado",16
saraedum,16
wheelmap_visitor,16
zurdo,16
"Miguel Mafla",15
brayan123,15
bvivi,15
cgu66,15
esteromatico,15
ASierra,14
AlfaMikeDelta,14
"Alfred Hauptmann",14
Emilien,14
Gloriart,14
"José Luis G",14
"Marce Morales",14
"Mas Urbano",14
"Quebrada Arriba",14
Rjamundarain,14
Vocesdela8,14
anguz,14
bdiscoe,14
cdavila,14
gormur,14
shravan91,14
stiflersk8,14
3rik,13
Albert619,13
El-Explorador,13
LuisaFgm,13
jgvasquez,13
maagoru,13
"nore zapata",13
wooliemonster,13
4k4t4k,12
ArcangelMP,12
"Endry Messias",12
haaijk,12
"kate lopez",12
torrez,12
Ropino,11
SergioMayaB,11
aidaly,11
juanda1913,11
juangmo,11
tdurand,11
AlejoMV,10
AndreAWS,10
"Berenjena Liz",10
EdSS,10
Hestben,10
"Luna Roja",10
Nicolas998,10
"OSMF Redaction Account",10
"YEISON GALEANO PEREZ",10
garciamanu49,10
isabel34,10
jfcalvacheg,10
lvasquez,10
runejuhl,10
sambarboza,10
spp3,10
yuliana951,10
Aleks-Berlin,9
DEIVY,9
"Genesis Velez",9
"Jonatan Cardona",9
Ronos,9
"Santiago Giraldo",9
Sebastian940421,9
"Sergio Marulanda",9
"Tom Zimmermann",9
"Xteban Xcobar",9
"Yeni Abdel",9
heaven521,9
yeison1234,9
"yuleidy mazo",9
Amajave,8
"Biblioteca Electrónica Débora Arango",8
"Biblioteca Familia El Raizal",8
"Cristiano (Velsis)",8
DaJona,8
"Jack 18",8
Jaiderog,8
"Juan Andrés Botero",8
"Mauricio Vasquez",8
"Nora E Montoya A",8
"Paul Smee",8
Salomon_Coronel,8
Yecano,8
alejaruizsuarez,8
castri10,8
eduar2311,8
icaroMDE,8
luismedellin,8
pruebas-azsmart,8
pyram,8
"rutas pol-comuna15",8
uboot,8
"yesica sanchez",8
AlejoManchester,7
"Joaquin Fajardo",7
PlaneMad,7
"Yamid Huertas",7
